13.000000
36337.000000 861.740217 861.763933 3.145967
35544.000000 535.879695 535.894772 220.952707
38899.000000 521.169640 521.183038 244.906424
36361.000000 497.419478 497.433158 246.447017
34606.000000 506.619901 506.634541 257.097787
32806.000000 506.026043 506.041468 266.171645
30664.000000 511.730934 511.747623 281.203561
29363.000000 519.237453 519.255137 301.239485
28620.000000 520.414696 520.432880 323.961356
26219.000000 526.498249 526.518331 355.812312
23817.000000 507.941555 507.962883 385.078305
20843.000000 516.568166 516.592951 439.421005
164.000000 579.621069 583.177027 460.292683
