19.000000
24976.000000 881.498396 881.533691 4.817104
22714.000000 426.236863 426.255630 211.855420
13459.000000 527.603249 527.642453 726.488818
13337.000000 512.539766 512.578199 733.061858
13048.000000 505.319418 505.358149 729.338749
13133.000000 510.396583 510.435450 729.575878
13127.000000 509.528003 509.566821 738.741601
13016.000000 511.888120 511.927451 739.410572
13002.000000 508.971933 509.011082 743.192893
12892.000000 520.883592 520.923998 746.247363
12870.000000 519.591087 519.631462 778.383294
12858.000000 517.730499 517.770767 756.610826
12730.000000 512.647566 512.687840 767.818460
12224.000000 517.763694 517.806053 766.020697
11036.000000 515.845553 515.892299 758.523016
11053.000000 500.049386 500.094632 768.344341
10897.000000 519.057885 519.105522 781.552262
12185.000000 513.983460 514.025645 793.802298
6760.000000 512.271892 512.347683 797.579882
