00000002.491177 00000001.945447 -0000001.687710 -0000001.287001 -0000000.139265 -0000001.443485 -0000000.034519 -0000000.090530
00000001.949463 -0000001.157869 -0000002.864317 -0000003.092334 -0000001.892625 -0000001.522080 -0000000.924236 -0000000.425363
00000005.547191 -0000002.698831 -0000000.403717 -0000001.235056 00000009.678100 -0000005.996824 -0000009.576346 00000007.557202
-0000000.156462 -0000002.497209 -0000000.840570 -0000000.811816 00000001.160261 00000001.852816 -0000001.763040 00000004.257483
-0000004.692252 00000001.852657 00000001.066356 00000000.953818 -0000007.180050 -0000002.628823 -0000001.972224 -0000002.341764
00000005.646528 00000004.169893 -0000000.260524 -0000000.400737 -0000002.437631 -0000002.312052 00000000.395519 -0000001.792296
00000000.227747 00000003.588645 -0000000.141799 -0000000.089518 -0000003.018690 00000000.071755 -0000000.034953 -0000001.745553
00000000.290206 00000006.693364 -0000003.315110 -0000003.359834 00000004.291308 -0000006.391576 00000000.112168 00000000.657559
00000001.659462 -0000008.709364 -0000000.368849 -0000000.642781 -0000000.028229 00000000.377829 -0000001.275581 -0000005.227924
-0000001.907042 -0000002.660818 -0000002.154728 -0000001.700734 00000006.218828 00000010.358767 -0000002.296944 00000006.522695
-0000001.478671 -0000009.098654 00000000.839406 00000001.389710 00000001.814863 00000000.908197 -0000002.328609 00000006.322865
-0000002.914629 -0000009.351192 -0000001.372925 -0000001.802952 -0000002.630681 00000000.693599 00000003.722470 -0000002.884429
-0000001.819719 -0000003.884245 -0000003.889140 -0000003.789432 -0000005.167313 00000005.300785 -0000001.598083 00000005.084459
00000000.661013 -0000002.034362 00000000.018121 00000000.337692 -0000004.126344 00000002.945755 -0000020.269953 00000003.659110
00000001.246878 00000003.851895 00000001.910502 00000001.710889 -0000002.217354 00000002.243154 00000001.518170 00000003.520590
00000004.565414 -0000004.176929 -0000000.133318 00000000.242682 00000003.195827 -0000008.110972 -0000001.690794 00000000.858172
-0000001.688213 00000000.591690 00000000.781278 00000000.647877 -0000000.965736 00000001.038250 -0000000.780110 -0000002.860389
00000000.717086 -0000001.374885 00000000.398727 00000000.566080 00000002.740541 00000000.637797 -0000001.104349 00000000.826325
00000005.094898 00000013.176575 -0000001.724792 -0000001.706329 00000000.871547 -0000003.011932 00000000.142971 -0000000.109461
00000000.550241 -0000002.368751 00000001.517227 00000001.742393 -0000006.338505 -0000007.095397 00000001.587938 -0000001.918467
00000004.152137 00000000.679334 00000000.439571 00000000.611147 00000001.921567 -0000000.910730 00000001.072671 -0000005.534014
00000001.156018 -0000007.466145 00000006.964920 00000006.406399 00000003.784346 00000010.057719 00000002.375691 -0000007.392778
-0000000.226549 -0000000.646583 -0000000.345392 -0000000.717962 -0000002.202318 -0000001.857907 00000002.021933 -0000000.773990
00000000.004488 -0000001.930475 00000000.651330 00000001.265658 00000000.249363 00000000.738636 00000000.186105 -0000001.387002
-0000001.915198 00000004.890621 -0000000.413588 -0000000.589153 -0000001.675040 -0000004.002738 00000001.065989 00000000.956393
